,clave_entidad,entidad,tasa_2015,tasa_2022,change,Income,MIncome,Income (USD),Investment (USD)
0,1,Aguascalientes,3.078482533,5.367361955,0.743508984,0.333974,333974000,18368570,369343104.4
1,2,Baja California,26.77353048,72.8551723,1.721164187,0.368584,368584000,20272120,772131747.2
2,3,Baja California Sur,24.58859256,6.808669228,-0.723096423,0.007909,7909000,434995,665209.0549
3,4,Campeche,5.998918013,9.097745598,0.516564417,0.006406,6406000,352330,3462233.767
4,5,Coahuila,10.79799877,4.056647756,-0.624314853,1.02,1020000000,56100000,532537873.3
5,6,Colima,25.49549949,107.2777047,3.207711431,0.015824,15824000,870320,7110741.377
6,7,Chiapas,9.664986692,7.262213414,-0.248605958,0.231663,231663000,12741465,48645440.1
7,8,Chihuahua,31.82651865,51.00273074,0.602523081,0.307248,307248000,16898640,1182847681
8,9,Distrito Federal,9.294897057,8.835206048,-0.049456278,0.492699,492699000,27098445,1725983467
9,10,Durango,13.24670586,6.842623862,-0.483447135,0.091233,91233000,5017815,55921010.67
10,11,Guanajuato,16.13659824,51.49150027,2.190976158,1.07,1070000000,58850000,1393142384
11,12,Guerrero,56.36650756,36.95831944,-0.344321282,0.01474,14740000,810700,804331.1574
12,13,Hidalgo,5.449224779,10.45766215,0.919110071,0.307516,307516000,16913380,66345821.86
13,14,Jalisco,13.53707765,24.16793905,0.785314354,0.765972,765972000,42128460,873852188.1
14,15,México,13.99083533,14.65188274,0.047248602,1.22,1220000000,67100000,547509269.7
15,16,Michoacán,20.49633865,49.55899044,1.417943579,0.142079,142079000,7814345,-12667902.2
16,17,Morelos,25.64095923,56.29553333,1.195531486,0.15258,152580000,8391900,-15699191.57
17,18,Nayarit,7.611992485,12.46784806,0.637921752,0.014497,14497000,797335,-2080642.521
18,19,Nuevo León,8.644827272,23.05412268,1.666811256,1.35,1350000000,74250000,2026661077
19,20,Oaxaca,5.598095553,23.12010608,3.1299949,0.231633,231633000,12739815,8190191.459
20,21,Puebla,8.861289267,15.23031916,0.718747544,0.620152,620152000,34108360,231204284.7
21,22,Querétaro,7.054653269,7.334368341,0.039649727,0.487701,487701000,26823555,403174152.4
22,23,Quintana Roo,15.21438179,35.02114888,1.301845016,0.01234,12340000,678700,-2727801.8
23,24,San Luis Potosí,9.317539198,22.30904081,1.394306086,0.471939,471939000,25956645,581275348.7
24,25,Sinaloa,32.49563133,14.91029803,-0.541159922,0.073533,73533000,4044315,15564786.08
25,26,Sonora,20.41768553,55.41972497,1.714300056,0.32209,322090000,17714950,124674881.9
26,27,Tabasco,10.05659307,12.45007596,0.238001366,0.053185,53185000,2925175,13118629.93
27,28,Tamaulipas,21.80432819,12.72920663,-0.416207346,0.377497,377497000,20762335,504468686.1
28,29,Tlaxcala,4.709719162,10.13649535,1.152250486,0.098795,98795000,5433725,-24212941.62
29,30,Veracruz,6.96496453,11.39640867,0.636247912,0.472877,472877000,26008235,186057700.6
30,31,Yucatán,2.442688423,1.689503849,-0.308342467,0.081591,81591000,4487505,31433018.09
31,32,Zacatecas,17.85601682,79.33312809,3.442935336,0.05676,56760000,3121800,10101640.11
